Away Team,City,Home Team,Match Date,Match ID,Match Referee,Player Of Match,Season,Team Gender,Toss Decision,Toss Winner,TV Umpire,Umpire,Venue,Winner,Number of Records,Winner Runs
Australia,Auckland,New Zealand,03-02-2016,914231,BC Broad,MJ Guptill,2015/16,male,field,Australia,,"IJ Gould,DJ Walker",Eden Park,New Zealand,1,159
Australia,Wellington,New Zealand,06-02-2016,914233,BC Broad,MR Marsh,2015/16,male,bat,New Zealand,IJ Gould,"BF Bowden,S Ravi",Westpac Stadium,Australia,1,
England,Port Elizabeth,South Africa,06-02-2016,800471,J Srinath,AD Hales,2015/16,male,bat,South Africa,CB Gaffaney,"JD Cloete,HDPK Dharmasena",St George's Park,England,1,
Australia,Hamilton,New Zealand,08-02-2016,914235,BC Broad,IS Sodhi,2015/16,male,field,Australia,S Ravi,"IJ Gould,DJ Walker",Seddon Park,New Zealand,1,55
England,Centurion,South Africa,09-02-2016,800473,J Srinath,Q de Kock,2015/16,male,bat,England,HDPK Dharmasena,"JD Cloete,CB Gaffaney",SuperSport Park,South Africa,1,
Sri Lanka,Pune,India,09-02-2016,963697,JJ Crowe,CAK Rajitha,2015/16,male,field,Sri Lanka,AK Chaudhary,"VA Kulkarni,CK Nandan",Maharashtra Cricket Association Stadium,Sri Lanka,1,
Australia,Wellington,New Zealand,12-02-2016,914237,BC Broad,AC Voges,2015/16,male,field,Australia,REJ Martinesz,"RK Illingworth,RA Kettleborough",Basin Reserve,Australia,1,52
England,Johannesburg,South Africa,12-02-2016,800475,J Srinath,CH Morris,2015/16,male,field,South Africa,CB Gaffaney,"HDPK Dharmasena,S George",New Wanderers Stadium,South Africa,1,
Sri Lanka,Ranchi,India,12-02-2016,963699,JJ Crowe,S Dhawan,2015/16,male,field,Sri Lanka,CK Nandan,"AK Chaudhary,VA Kulkarni",JSCA International Stadium Complex,India,1,69
England,Cape Town,South Africa,14-02-2016,800477,J Srinath,AB de Villiers,2015/16,male,field,South Africa,HDPK Dharmasena,"JD Cloete,CB Gaffaney",Newlands,South Africa,1,
Sri Lanka,Visakhapatnam,India,14-02-2016,963701,JJ Crowe,R Ashwin,2015/16,male,field,India,VA Kulkarni,"AK Chaudhary,CK Nandan",Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,India,1,
England,Cape Town,South Africa,19-02-2016,800479,AJ Pycroft,Imran Tahir,2015/16,male,field,South Africa,AT Holdstock,"JD Cloete,S George",Newlands,South Africa,1,
Australia,Christchurch,New Zealand,20-02-2016,914239,BC Broad,JA Burns,2015/16,male,field,Australia,RK Illingworth,"RA Kettleborough,REJ Martinesz",Hagley Oval,Australia,1,
England,Johannesburg,South Africa,21-02-2016,800481,AJ Pycroft,AB de Villiers,2015/16,male,field,South Africa,S George,"JD Cloete,AT Holdstock",New Wanderers Stadium,South Africa,1,
India,Mirpur,Bangladesh,24-02-2016,966745,RB Richardson,RG Sharma,2015/16,male,field,Bangladesh,Enamul Haque,"RSA Palliyaguruge,Shozab Raza",Shere Bangla National Stadium,India,1,45
Pakistan,Mirpur,India,27-02-2016,966751,JJ Crowe,V Kohli,2015/16,male,field,India,Enamul Haque,"RSA Palliyaguruge,Sharfuddoula",Shere Bangla National Stadium,India,1,
Sri Lanka,Mirpur,Bangladesh,28-02-2016,966753,JJ Crowe,Sabbir Rahman,2015/16,male,bat,Bangladesh,Anisur Rahman,"AK Chaudhary,Shozab Raza",Shere Bangla National Stadium,Bangladesh,1,23
Sri Lanka,Mirpur,India,01-03-2016,966757,JJ Crowe,V Kohli,2015/16,male,field,India,Sharfuddoula,"Anisur Rahman,Shozab Raza",Shere Bangla National Stadium,India,1,
Pakistan,Mirpur,Bangladesh,02-03-2016,966759,JJ Crowe,Soumya Sarkar,2015/16,male,bat,Pakistan,Enamul Haque,"AK Chaudhary,RSA Palliyaguruge",Shere Bangla National Stadium,Bangladesh,1,
Australia,Durban,South Africa,04-03-2016,884347,RB Richardson,DA Miller,2015/16,male,bat,Australia,BP Jele,"S George,AT Holdstock",Kingsmead,South Africa,1,
Sri Lanka,Mirpur,Pakistan,04-03-2016,966763,JJ Crowe,Umar Akmal,2015/16,male,field,Pakistan,Sharfuddoula,"AK Chaudhary,Enamul Haque",Shere Bangla National Stadium,Pakistan,1,
Australia,Johannesburg,South Africa,06-03-2016,884349,RB Richardson,DA Warner,2015/16,male,field,Australia,BP Jele,"S George,AT Holdstock",New Wanderers Stadium,Australia,1,
India,Mirpur,Bangladesh,06-03-2016,966765,JJ Crowe,S Dhawan,2015/16,male,field,India,Enamul Haque,"RSA Palliyaguruge,Shozab Raza",Shere Bangla National Stadium,India,1,
Australia,Cape Town,South Africa,09-03-2016,884351,RB Richardson,HM Amla,2015/16,male,bat,South Africa,BP Jele,"S George,AT Holdstock",Newlands,Australia,1,
New Zealand,Nagpur,India,15-03-2016,951329,RS Madugalle,MJ Santner,2015/16,male,bat,New Zealand,M Erasmus,"HDPK Dharmasena,RK Illingworth","""Vidarbha Cricket Association Stadium",New Zealand,1,47
Pakistan,Kolkata,Bangladesh,16-03-2016,951333,BC Broad,Shahid Afridi,2015/16,male,bat,Pakistan,JS Wilson,"IJ Gould,RA Kettleborough",Eden Gardens,Pakistan,1,55
West Indies,Mumbai,England,16-03-2016,951331,DC Boon,CH Gayle,2015/16,male,field,West Indies,PR Reiffel,"CB Gaffaney,RJ Tucker",Wankhede Stadium,West Indies,1,
New Zealand,Dharamsala,Australia,18-03-2016,951337,RS Madugalle,MJ McClenaghan,2015/16,male,bat,New Zealand,RK Illingworth,"M Erasmus,NJ Llong",Himachal Pradesh Cricket Association Stadium,New Zealand,1,8
South Africa,Mumbai,England,18-03-2016,951339,DC Boon,JE Root,2015/16,male,field,England,RJ Tucker,"S Ravi,PR Reiffel",Wankhede Stadium,England,1,
Pakistan,Kolkata,India,19-03-2016,951341,BC Broad,V Kohli,2015/16,male,field,India,BNJ Oxenford,"IJ Gould,RA Kettleborough",Eden Gardens,India,1,
West Indies,Bangalore,Sri Lanka,20-03-2016,951345,JJ Crowe,ADS Fletcher,2015/16,male,field,West Indies,SD Fry,"Aleem Dar,JD Cloete",M Chinnaswamy Stadium,West Indies,1,
Bangladesh,Bangalore,Australia,21-03-2016,951347,BC Broad,A Zampa,2015/16,male,field,Australia,Aleem Dar,"IJ Gould,RA Kettleborough",M Chinnaswamy Stadium,Australia,1,
Pakistan,Chandigarh,New Zealand,22-03-2016,951349,RS Madugalle,MJ Guptill,2015/16,male,bat,New Zealand,HDPK Dharmasena,"RK Illingworth,NJ Llong","""Punjab Cricket Association IS Bindra Stadium",New Zealand,1,22
